config,group,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
HW_fBO4_sg15,HW,0.69,1.5,10,28,66.3718,True,,2026-07-03T21:19:33.469146
SW_fBO4_sg0,SW,0.54,0.0,10,28,20.3627,True,,2026-07-03T21:19:53.840445
HW_fBO4_sg0,HW,0.69,0.0,10,9,37.7366,True,,2026-07-03T21:20:31.601752
SW_fBO4_sg08,SW,0.54,0.8,10,2,27.0868,True,,2026-07-03T21:20:58.701875
GR_fBO4_sg08,GR,0.77,0.8,10,15,36.4098,True,,2026-07-03T21:21:35.139507
SW_fBO4_sg0,SW,0.54,0.0,10,11,21.3831,True,,2026-07-03T21:21:56.526406
HW_fBO4_sg15,HW,0.69,1.5,10,1,70.2813,True,,2026-07-03T21:23:06.867577
HW_fBO4_sg15,HW,0.69,1.5,10,27,64.6815,True,,2026-07-03T21:24:11.622707
HW_fBO4_sg08,HW,0.69,0.8,10,29,123.2335,True,,2026-07-03T21:26:14.934048
HW_fBO4_sg0,HW,0.69,0.0,10,24,36.8727,True,,2026-07-03T21:26:51.853401
HW_fBO4_sg0,HW,0.69,0.0,10,12,39.6527,True,,2026-07-03T21:27:31.534638
HW_fBO4_sg08,HW,0.69,0.8,10,27,96.3763,True,,2026-07-03T21:29:07.996419
HW_fBO4_sg0,HW,0.69,0.0,10,21,46.983,True,,2026-07-03T21:29:55.025108
GR_fBO4_sg15,GR,0.77,1.5,10,7,29.5121,True,,2026-07-03T21:30:24.596144
GR_fBO4_sg08,GR,0.77,0.8,10,8,38.3393,True,,2026-07-03T21:31:02.997067
GR_fBO4_sg08,GR,0.77,0.8,10,21,34.2468,True,,2026-07-03T21:31:37.273951
GR_fBO4_sg15,GR,0.77,1.5,10,13,33.2758,True,,2026-07-03T21:32:10.593980
HW_fBO4_sg15,HW,0.69,1.5,10,3,85.4537,True,,2026-07-03T21:33:36.113809
SW_fBO4_sg08,SW,0.54,0.8,10,13,37.7539,True,,2026-07-03T21:34:13.890216
GR_fBO4_sg0,GR,0.77,0.0,10,30,13.9483,True,,2026-07-03T21:34:27.850368
HW_fBO4_sg0,HW,0.69,0.0,10,30,41.6113,True,,2026-07-03T21:35:09.528874
GR_fBO4_sg15,GR,0.77,1.5,10,1,39.4783,True,,2026-07-03T21:35:49.022932
GR_fBO4_sg15,GR,0.77,1.5,10,30,32.3159,True,,2026-07-03T21:36:21.357741
HW_fBO4_sg15,HW,0.69,1.5,10,7,74.735,True,,2026-07-03T21:37:36.157960
SW_fBO4_sg08,SW,0.54,0.8,10,25,28.1756,True,,2026-07-03T21:38:04.352271
SW_fBO4_sg15,SW,0.54,1.5,10,14,22.8008,True,,2026-07-03T21:38:27.167254
HW_fBO4_sg08,HW,0.69,0.8,10,3,92.1338,True,,2026-07-03T21:39:59.398379
GR_fBO4_sg15,GR,0.77,1.5,10,10,39.7561,True,,2026-07-03T21:40:39.178479
GR_fBO4_sg15,GR,0.77,1.5,10,20,50.4284,True,,2026-07-03T21:41:29.622027
GR_fBO4_sg0,GR,0.77,0.0,10,15,14.4008,True,,2026-07-03T21:41:44.037903
GR_fBO4_sg15,GR,0.77,1.5,10,2,32.4946,True,,2026-07-03T21:42:16.554664
HW_fBO4_sg0,HW,0.69,0.0,10,10,50.1201,True,,2026-07-03T21:43:06.710857
SW_fBO4_sg0,SW,0.54,0.0,10,18,25.2826,True,,2026-07-03T21:43:31.998787
GR_fBO4_sg0,GR,0.77,0.0,10,28,17.445,True,,2026-07-03T21:43:49.449214
SW_fBO4_sg15,SW,0.54,1.5,10,27,30.2413,True,,2026-07-03T21:44:19.698460
