config_name,group,dp,replica,t_gen_s,success,timestamp
SW_DP5,SW,5,14,3.188,True,2026-04-01T14:05:51.897679
SW_DP5,SW,5,15,3.208,True,2026-04-01T14:05:55.109518
SW_DP5,SW,5,16,3.136,True,2026-04-01T14:05:58.250094
SW_DP5,SW,5,17,3.987,True,2026-04-01T14:06:02.242446
SW_DP5,SW,5,18,3.456,True,2026-04-01T14:06:05.703786
SW_DP5,SW,5,19,3.523,True,2026-04-01T14:06:09.231606
SW_DP5,SW,5,20,3.554,True,2026-04-01T14:06:12.790617
SW_DP5,SW,5,21,3.039,True,2026-04-01T14:06:15.834709
SW_DP5,SW,5,22,3.226,True,2026-04-01T14:06:19.065962
SW_DP5,SW,5,23,3.492,True,2026-04-01T14:06:22.562314
SW_DP5,SW,5,24,3.357,True,2026-04-01T14:06:25.923978
SW_DP5,SW,5,25,3.481,True,2026-04-01T14:06:29.410829
SW_DP5,SW,5,26,3.603,True,2026-04-01T14:06:33.019788
SW_DP5,SW,5,27,3.399,True,2026-04-01T14:06:36.422180
SW_DP5,SW,5,28,3.427,True,2026-04-01T14:06:39.852221
SW_DP5,SW,5,29,3.561,True,2026-04-01T14:06:43.417994
SW_DP5,SW,5,30,3.407,True,2026-04-01T14:06:46.830388
SW_DP8,SW,8,1,25.641,True,2026-04-01T14:07:12.479460
SW_DP8,SW,8,2,24.221,True,2026-04-01T14:07:36.751861
SW_DP8,SW,8,3,24.874,True,2026-04-01T14:08:01.675479
SW_DP8,SW,8,4,23.355,True,2026-04-01T14:08:25.081307
SW_DP8,SW,8,5,24.571,True,2026-04-01T14:08:49.706959
SW_DP8,SW,8,6,24.175,True,2026-04-01T14:09:13.930347
SW_DP8,SW,8,7,26.315,True,2026-04-01T14:09:40.294805
SW_DP8,SW,8,8,25.473,True,2026-04-01T14:10:05.817442
SW_DP8,SW,8,9,28.251,True,2026-04-01T14:10:34.122943
SW_DP8,SW,8,10,24.265,True,2026-04-01T14:10:58.422576
SW_DP8,SW,8,11,25.723,True,2026-04-01T14:11:24.196616
