config,fbo4_source,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
HW_fBO4_sg0,HW,0.69,0.0,10,25,212.113,True,,2026-04-01T16:16:11.583530
SW_fBO4_sg0,SW,0.54,0.0,10,28,114.8283,True,,2026-04-01T16:16:54.297719
HW_fBO4_sg08,HW,0.69,0.8,10,7,393.324,True,,2026-04-01T16:17:29.081121
GR_fBO4_sg0,GR,0.77,0.0,10,2,98.4996,True,,2026-04-01T16:17:50.191607
GR_fBO4_sg0,GR,0.77,0.0,10,13,113.5041,True,,2026-04-01T16:18:49.404294
SW_fBO4_sg08,SW,0.54,0.8,10,14,169.977,True,,2026-04-01T16:18:57.263028
HW_fBO4_sg15,HW,0.69,1.5,10,9,322.405,True,,2026-04-01T16:19:09.522585
GR_fBO4_sg0,GR,0.77,0.0,10,10,71.9556,True,,2026-04-01T16:20:09.530873
HW_fBO4_sg08,HW,0.69,0.8,10,24,456.6595,True,,2026-04-01T16:20:14.887352
GR_fBO4_sg0,GR,0.77,0.0,10,7,69.8287,True,,2026-04-01T16:20:19.464556
GR_fBO4_sg15,GR,0.77,1.5,10,19,189.7819,True,,2026-04-01T16:20:25.009246
HW_fBO4_sg0,HW,0.69,0.0,10,24,256.1347,True,,2026-04-01T16:21:09.832084
HW_fBO4_sg0,HW,0.69,0.0,10,14,220.8417,True,,2026-04-01T16:21:31.157999
GR_fBO4_sg0,GR,0.77,0.0,10,16,98.1086,True,,2026-04-01T16:21:53.207299
SW_fBO4_sg15,SW,0.54,1.5,10,21,136.4635,True,,2026-04-01T16:22:41.572350
SW_fBO4_sg15,SW,0.54,1.5,10,3,119.4786,True,,2026-04-01T16:23:09.468577
HW_fBO4_sg08,HW,0.69,0.8,10,1,389.72,True,,2026-04-01T16:23:58.861360
GR_fBO4_sg08,GR,0.77,0.8,10,9,130.4025,True,,2026-04-01T16:24:03.734438
GR_fBO4_sg08,GR,0.77,0.8,10,14,140.7872,True,,2026-04-01T16:25:02.736798
SW_fBO4_sg15,SW,0.54,1.5,10,10,106.5254,True,,2026-04-01T16:25:14.789400
SW_fBO4_sg15,SW,0.54,1.5,10,1,133.0961,True,,2026-04-01T16:25:22.757913
HW_fBO4_sg15,HW,0.69,1.5,10,16,625.1991,True,,2026-04-01T16:29:15.077827
GR_fBO4_sg15,GR,0.77,1.5,10,14,243.317,True,,2026-04-01T16:29:26.176596
GR_fBO4_sg15,GR,0.77,1.5,10,26,164.5339,True,,2026-04-01T16:30:06.102371
HW_fBO4_sg15,HW,0.69,1.5,10,28,382.1122,True,,2026-04-01T16:30:21.053101
GR_fBO4_sg0,GR,0.77,0.0,10,25,75.0381,True,,2026-04-01T16:30:30.797286
SW_fBO4_sg08,SW,0.54,0.8,10,16,118.6063,True,,2026-04-01T16:31:24.873613
SW_fBO4_sg0,SW,0.54,0.0,10,11,98.5795,True,,2026-04-01T16:31:44.753661
SW_fBO4_sg08,SW,0.54,0.8,10,10,121.9835,True,,2026-04-01T16:32:23.080253
HW_fBO4_sg08,HW,0.69,0.8,10,2,524.3572,True,,2026-04-01T16:32:42.364271
SW_fBO4_sg0,SW,0.54,0.0,10,26,115.8191,True,,2026-04-01T16:32:52.759094
HW_fBO4_sg08,HW,0.69,0.8,10,28,476.2838,True,,2026-04-01T16:32:59.086863
GR_fBO4_sg08,GR,0.77,0.8,10,5,186.9114,True,,2026-04-01T16:33:37.954548
SW_fBO4_sg15,SW,0.54,1.5,10,12,141.2371,True,,2026-04-01T16:34:06.044458
GR_fBO4_sg0,GR,0.77,0.0,10,24,86.7411,True,,2026-04-01T16:34:09.184375
SW_fBO4_sg0,SW,0.54,0.0,10,25,116.8039,True,,2026-04-01T16:34:55.942520
GR_fBO4_sg0,GR,0.77,0.0,10,18,66.6416,True,,2026-04-01T16:35:12.724320
HW_fBO4_sg0,HW,0.69,0.0,10,1,229.8878,True,,2026-04-01T16:35:14.851265
